Value Set Name,External ID,Value Set ID,Code system,Code,Description,Output Reason,Single Soft,Single Hard,Hard,Soft,Only if these Codes are not present,Reason,NDC Required
,,,HCPCS,Q5152,"Injection, eculizumab-aeeb (bkemv), biosimilar, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9051,"Injection, bortezomib (maia), not therapeutically equivalent to j9041, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9263,"Injection, oxaliplatin, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9262,"Injection, omacetaxine mepesuccinate, 0.01 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9223,"Injection, lurbinectedin, 0.1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9215,"Injection, interferon, alfa-n3, (human leukocyte derived), 250,000 iu",Included rule,,,,,,,Yes
,,,HCPCS,J9227,"Injection, isatuximab-irfc, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9206,"Injection, irinotecan, 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9201,"Injection, gemcitabine hydrochloride, not otherwise specified, 200 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9155,"Injection, degarelix, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9118,"Injection, calaspargase pegol-mknl, 10 units",Included rule,,,,,,,Yes
,,,HCPCS,J9178,"Injection, epirubicin hcl, 2 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9060,"Injection, cisplatin, powder or solution, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9100,"Injection, cytarabine, 100 mg",Included rule,,,,,,,Yes
,,,HCPCS,J9075,"Injection, cyclophosphamide, not otherwise specified, 5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7513,"Daclizumab, parenteral, 25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7310,"Ganciclovir, 4.5 mg, long-acting implant",Included rule,,,,,,,Yes
,,,HCPCS,Q5109,"Injection, infliximab-qbtx, biosimilar, (ixifi), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1444,"Injection, ferric pyrophosphate citrate powder, 0.1 mg of iron",Included rule,,,,,,,Yes
,,,HCPCS,J1710,"Injection, hydrocortisone sodium phosphate, up to 50 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1620,"Injection, gonadorelin hydrochloride, per 100 mcg",Included rule,,,,,,,Yes
,,,HCPCS,J1590,"Injection, gatifloxacin, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7527,"Everolimus, oral, 0.25 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7297,"Levonorgestrel-releasing intrauterine contraceptive system (liletta), 52 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7213,"Injection, coagulation factor ix (recombinant), ixinity, 1 i.u.",Included rule,,,,,,,Yes
,,,HCPCS,J7301,"Levonorgestrel-releasing intrauterine contraceptive system (skyla), 13.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J7179,"Injection, von willebrand factor (recombinant), (vonvendi), 1 i.u. vwf:rco",Included rule,,,,,,,Yes
,,,HCPCS,J7191,"Factor viii (antihemophilic factor (porcine)), per i.u.",Included rule,,,,,,,Yes
,,,HCPCS,Q5121,"Injection, infliximab-axxq, biosimilar, (avsola), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5118,"Injection, bevacizumab-bvzr, biosimilar, (zirabev), 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,Q5108,"Injection, pegfilgrastim-jmdb (fulphila), biosimilar, 0.5 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1453,"Injection, fosaprepitant, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1429,"Injection, golodirsen, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1438,"Injection, etanercept, 25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",Included rule,,,,,,,Yes
,,,HCPCS,J1260,"Injection, dolasetron mesylate, 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1230,"Injection, methadone hcl, up to 10 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1320,"Injection, amitriptyline hcl, up to 20 mg",Included rule,,,,,,,Yes
,,,HCPCS,J1304,"Injection, tofersen, 1 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0899,"Injection, argatroban (auromedics), not therapeutically equivalent to j0884, 1 mg (for esrd on dialysis)",Included rule,,,,,,,Yes
,,,HCPCS,J0895,"Injection, deferoxamine mesylate, 500 mg",Included rule,,,,,,,Yes
,,,HCPCS,J0898,"Injection, argatroban (auromedics), not therapeutically equivalent to j0883, 1 mg (for non-esrd use)",Included rule,,,,,,,Yes
,,,HCPCS,J0130,"Injection abciximab, 10 mg",Included rule,,,,,,,Yes
